"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"206","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","10.8","California","2016-07-26"
"506","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","6.8","California","2016-07-26"
"794","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","3.2","California","2016-07-26"
"1077","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","7.1","California","2016-07-26"
"1196","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","4.6","California","2016-07-26"
"1474","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","13.1","California","2016-07-26"
"2123","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","10.2","California","2016-07-26"
"2554","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","6.3","California","2016-07-26"
"2828","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","5.2","California","2016-07-26"
"3110","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","14","California","2016-07-26"
"4058","ug/m3 LC","Fresno","36.6342250009","-120.382331","Fresno","14.8","California","2016-07-26"
"4406","ug/m3 LC","Fresno","36.72639","-119.733","Fresno","15.1","California","2016-07-26"
"4836","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","11.3","California","2016-07-26"
"5095","ug/m3 LC","El Centro","32.676186139","-115.4841439523","Imperial","12.8","California","2016-07-26"
"5271","ug/m3 LC","El Centro","32.97833","-115.53917","Imperial","14.7","California","2016-07-26"
"5362","ug/m3 LC","El Centro","32.79222","-115.56306","Imperial","11.1","California","2016-07-26"
"5593","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","13.3","California","2016-07-26"
"5724","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","8","California","2016-07-26"
"5951","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","9.5","California","2016-07-26"
"6083","ug/m3 LC","Bakersfield","35.385574","-119.015009","Kern","15.8","California","2016-07-26"
"6290","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","12.8","California","2016-07-26"
"6534","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","16.3","California","2016-07-26"
"6794","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","16","California","2016-07-26"
"7147","ug/m3 LC","Bakersfield","34.841567","-118.860588","Kern","7.7","California","2016-07-26"
"7283","ug/m3 LC","Hanford-Corcoran","36.1021801683","-119.566954018","Kings","18.4","California","2016-07-26"
"7496","ug/m3 LC","Hanford-Corcoran","36.3143988776","-119.6445696359","Kings","16.1","California","2016-07-26"
