"","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"202","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.6,"California",2016-07-22
"203","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.5,"California",2016-07-23
"204","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",11.5,"California",2016-07-24
"205","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",15.2,"California",2016-07-25
"206","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.8,"California",2016-07-26
"207","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",12.7,"California",2016-07-27
"208","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8,"California",2016-07-28
"209","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.2,"California",2016-07-29
"210","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.1,"California",2016-07-30
"211","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.4,"California",2016-07-31
"212","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10,"California",2016-08-01
"213","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.7,"California",2016-08-02
"214","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.6,"California",2016-08-03
"215","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.2,"California",2016-08-04
"216","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.9,"California",2016-08-05
"217","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.3,"California",2016-08-06
"218","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.9,"California",2016-08-07
"219","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.5,"California",2016-08-08
"220","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.1,"California",2016-08-09
"221","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.8,"California",2016-08-10
"222","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.2,"California",2016-08-11
"223","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.8,"California",2016-08-12
"224","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",9.1,"California",2016-08-13
"225","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6,"California",2016-08-14
"226","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.6,"California",2016-08-15
"227","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.2,"California",2016-08-16
"228","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.4,"California",2016-08-17
"229","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",13.1,"California",2016-08-18
"230","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",13.1,"California",2016-08-19
"231","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",9.7,"California",2016-08-20
"232","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.9,"California",2016-08-21
"233","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.3,"California",2016-08-22
"234","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7,"California",2016-08-23
"235","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8,"California",2016-08-24
"236","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.6,"California",2016-08-25
"237","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6,"California",2016-08-26
"238","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.2,"California",2016-08-27
"239","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",9.5,"California",2016-08-28
"240","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.8,"California",2016-08-29
"241","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.7,"California",2016-08-30
"242","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.4,"California",2016-08-31
"243","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.2,"California",2016-09-01
"244","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.2,"California",2016-09-02
"245","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.4,"California",2016-09-03
"246","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.9,"California",2016-09-04
"247","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",11.9,"California",2016-09-05
"248","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",18,"California",2016-09-06
"249","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",19.6,"California",2016-09-07
"250","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.2,"California",2016-09-13
"251","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.8,"California",2016-09-14
"252","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",9.4,"California",2016-09-15
"253","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.1,"California",2016-09-16
"254","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",9.9,"California",2016-09-17
"255","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.7,"California",2016-09-18
"256","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.5,"California",2016-09-19
"257","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",10.2,"California",2016-09-20
"258","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.7,"California",2016-09-21
"259","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.2,"California",2016-09-22
"260","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6,"California",2016-09-23
"261","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.1,"California",2016-09-24
"262","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7,"California",2016-09-25
"263","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.7,"California",2016-09-26
"264","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.7,"California",2016-09-27
"265","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8.6,"California",2016-09-28
"266","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",11,"California",2016-09-29
"267","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",8,"California",2016-09-30
"268","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5,"California",2016-10-01
"269","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.2,"California",2016-10-02
"270","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.2,"California",2016-10-03
"271","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.6,"California",2016-10-04
"272","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",5.1,"California",2016-10-05
"273","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",3.7,"California",2016-10-06
"274","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",4.9,"California",2016-10-07
"275","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.2,"California",2016-10-08
"276","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7.7,"California",2016-10-09
"277","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6.7,"California",2016-10-10
"278","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",7,"California",2016-10-11
"279","ug/m3 LC","San Francisco-Oakland-Hayward",37.687526,-121.784217,"Alameda",6,"California",2016-10-12
"502","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.7,"California",2016-07-22
"503","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.7,"California",2016-07-23
"504","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",12.5,"California",2016-07-24
"505","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.2,"California",2016-07-25
"506","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.8,"California",2016-07-26
"507","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.6,"California",2016-07-27
"508","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.7,"California",2016-07-28
"509","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.1,"California",2016-07-29
"510","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",2.7,"California",2016-07-30
"511","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3,"California",2016-07-31
"512","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.3,"California",2016-08-01
"513","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.7,"California",2016-08-02
"514","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.5,"California",2016-08-03
"515","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4,"California",2016-08-04
"516","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",1,"California",2016-08-05
"517","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.5,"California",2016-08-06
"518","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.9,"California",2016-08-07
"519","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.3,"California",2016-08-08
"520","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.3,"California",2016-08-09
"521","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.8,"California",2016-08-10
"522","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.5,"California",2016-08-11
"523","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.4,"California",2016-08-12
"524","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.1,"California",2016-08-13
"525","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",2.3,"California",2016-08-14
"526","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.2,"California",2016-08-15
"527","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.3,"California",2016-08-16
"528","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.8,"California",2016-08-17
"529","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.4,"California",2016-08-18
"530","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.7,"California",2016-08-19
"531","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.2,"California",2016-08-20
"532","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.1,"California",2016-08-21
"533","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.3,"California",2016-08-22
"534","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.2,"California",2016-08-23
"535","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.4,"California",2016-08-24
"536","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.3,"California",2016-08-25
"537","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",3.5,"California",2016-08-26
"538","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.2,"California",2016-08-27
"539","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5,"California",2016-08-28
"540","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",2.3,"California",2016-08-29
"541","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",1.8,"California",2016-08-30
"542","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",1.9,"California",2016-08-31
"543","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.1,"California",2016-09-01
"544","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.2,"California",2016-09-02
"545","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.3,"California",2016-09-03
"546","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.7,"California",2016-09-04
"547","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.5,"California",2016-09-05
"548","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",12.3,"California",2016-09-06
"549","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",13.6,"California",2016-09-07
"550","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.6,"California",2016-09-08
"551","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.2,"California",2016-09-13
"552","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.7,"California",2016-09-14
"553","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.4,"California",2016-09-15
"554","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",10.2,"California",2016-09-16
"555","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",12.1,"California",2016-09-17
"556","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",10.8,"California",2016-09-18
"557","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",12.2,"California",2016-09-19
"558","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",11.7,"California",2016-09-20
"559","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.9,"California",2016-09-21
"560","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.4,"California",2016-09-22
"561","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.4,"California",2016-09-23
"562","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.2,"California",2016-09-24
"563","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",7.2,"California",2016-09-25
"564","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",10.6,"California",2016-09-26
"565","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.2,"California",2016-09-27
"566","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.2,"California",2016-09-28
"567","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",9.1,"California",2016-09-29
"568","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",8.7,"California",2016-09-30
"569","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",6.7,"California",2016-10-01
"570","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",5.5,"California",2016-10-02
"571","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.4,"California",2016-10-03
"572","ug/m3 LC","San Francisco-Oakland-Hayward",37.743065,-122.169935,"Alameda",4.6,"California",2016-10-04
