UNITS,CBSA_NAME,SITE_LATITUDE,SITE_LONGITUDE,COUNTY,Daily Mean PM2.5 Concentration,STATE,Date
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.9,California,01/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,12.9,California,01/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,22.3,California,01/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,17,California,01/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5,California,01/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4,California,01/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.5,California,01/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.6,California,01/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.7,California,01/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.6,California,01/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,12.4,California,01/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,14.2,California,01/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.3,California,01/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.1,California,01/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.5,California,01/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.9,California,01/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,01/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.1,California,01/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.4,California,01/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.1,California,01/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.7,California,01/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.3,California,01/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6,California,01/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,01/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.7,California,01/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.2,California,01/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.3,California,01/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.9,California,01/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.9,California,01/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.6,California,01/30/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.2,California,01/31/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.9,California,02/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.4,California,02/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11,California,02/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10,California,02/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,13.6,California,02/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,14.2,California,02/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.1,California,02/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8,California,02/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,15.3,California,02/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,14,California,02/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,12.2,California,02/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,14.8,California,02/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.9,California,02/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.5,California,02/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.5,California,02/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,12.5,California,02/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.7,California,02/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.5,California,02/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.7,California,02/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.4,California,02/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.2,California,02/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,02/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.3,California,02/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.9,California,02/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,14.1,California,02/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.5,California,02/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.6,California,02/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.6,California,02/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.2,California,02/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.7,California,03/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.6,California,03/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.4,California,03/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.7,California,03/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,2,California,03/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,03/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4,California,03/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.1,California,03/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.4,California,03/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.4,California,03/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.1,California,03/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.8,California,03/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.7,California,03/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.9,California,03/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.2,California,03/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.6,California,03/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.7,California,03/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7,California,03/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,03/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,2.4,California,03/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.2,California,03/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.9,California,03/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.5,California,03/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.8,California,03/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.4,California,03/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.5,California,03/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.1,California,03/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.2,California,03/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.7,California,03/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.9,California,03/30/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.4,California,03/31/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.7,California,04/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.8,California,04/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.5,California,04/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.9,California,04/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.4,California,04/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.4,California,04/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.6,California,04/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.2,California,04/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4,California,04/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.9,California,04/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.7,California,04/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.7,California,04/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.5,California,04/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.1,California,04/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4,California,04/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.2,California,04/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.2,California,04/17/2016
